height (inches),left handspan (cm),right handspan (cm),sex,handedness,dominate eye
64,20.8,21.5,f,r,r
71,21.5,21.5,f,r,r
69,22,22,m,l,l
74,22.5,22.5,m,r,r
65,20.5,21.5,f,r,l
62,21,20,f,r,r
71,24,23.7,m,r,r
69,20.5,20,f,r,l
67,21.3,21.9,f,r,r
68,19.5,20.2,f,l,l
68,22,22,m,l,l
67.5,17,18,m,r,r
72,19.5,20.3,f,r,l
63.5,22.5,21.5,f,r,r
66,19,19,f,r,r
74,25,24.8,m,r,r
74,27,27,m,r,r
69,21.3,20.8,f,r,l
74,23,23,m,r,l
69,21,21,m,r,r
69,21.5,21.5,m,l,l
69,22,22,m,r,r
62,19.5,19,f,r,l
71,23.6,23.8,m,r,l
75,18.5,20.5,m,r,r
61,17.6,18,f,r,r
71,23,25,m,r,r
74.5,25.5,25.5,m,r,r
68,22.5,22.5,m,r,r
70,22,22,m,l,l
66,20.7,21,f,r,r
66,19.2,19.1,f,r,r
59,18,18.2,f,r,l
66,18.3,19.3,f,r,r
62,17,17,f,r,l
67,23,22,f,r,r
64,20.1,20.3,f,r,r
61,18.2,17.5,f,l,l
66,21,22,m,r,r
67,22,20.5,m,r,l
63,18.5,19.5,f,r,r
65,18.5,18.6,f,r,r
69,18,18.5,f,r,r
68,21.1,20.9,f,r,r
66,19,19.5,f,r,r
77,25,25,m,r,l
70,20.8,20.6,f,r,r
64,17.5,16.5,f,r,l
66,18,18.5,f,r,r
64,20,20,m,r,r
65,20.5,21,f,r,r
73,23,23,m,r,r
64,16,16,f,r,r
72,20,20,m,r,r
60,21.5,21,f,r,r
63,17,17,f,r,r
65,19,18.75,f,r,r
68,23.8,23.1,m,r,r
69,20.5,20.5,f,l,r
64,19.3,18.1,f,r,r
70,23,22.6,m,r,r
61,17,16.5,f,r,l
62,19.5,19.7,f,r,l
68,19.5,19.5,f,r,r
72,24,23.1,m,r,l
71,21.5,21.6,m,r,r
62,18.5,20,f,r,l
65,20.5,21,m,r,r
62,19,19,f,r,r
71,25,25,m,r,l
60,19,19,f,r,r
67,16,17,f,r,r
71.5,23.5,23.3,m,r,l
66,18,19,m,r,r
66,15.5,18,f,r,r
65,21.3,22.2,f,r,l
70,23,22.3,m,r,r
52,20.5,20,f,r,r
65.62,19,19,f,r,r
69,21,21,f,r,l
69,22,22,m,l,l
68,23,22.5,m,r,l
71,23.5,24,m,r,r
65,18,18,f,r,l
64,19.5,19.5,f,r,l
72,20.5,22,f,l,r
60,18.5,18.5,f,r,l
66,22.1,21.5,m,r,l
69,20.5,21,m,r,l
61,22,21,f,r,l
71,24,24,m,r,r
70,22.4,22.7,m,r,l
68,20.5,20,f,r,r
62,19,20,f,l,l
69,23.5,24,m,r,r
74,22,22,m,r,r
63,18.5,19.3,f,r,r
68,20,19,f,r,r
63,20.5,19.5,f,r,l
68,23,23,m,r,l
63,20.4,19.4,f,r,r
72,24,23,m,r,l
62,21.5,21.5,f,r,r
72,24.5,24.8,m,r,r
73,23.5,23.5,m,r,l
69,22.5,23,m,r,r
67.5,23,22,m,r,r
63.5,20,19.5,f,r,r
65,21.5,20.25,f,r,r
65,20,21,f,r,l
70,20.5,21,m,r,r
64,20.5,21,f,r,l
71,22.5,23,m,r,r
64,21.5,21.5,m,r,r
68,20.5,20.5,f,r,r
63,20.5,20.5,f,r,r
66,20.5,21,f,r,r
65,18.8,19,f,r,r
