"","Mean_Temp","Num_Total_Crimes"
"1201",69,572
"1202",75,618
"1203",66,583
"1204",67,620
"1205",71,593
"1206",69,642
"1207",67,576
"1208",72,612
"1209",67,608
"1210",70,615
"1211",74,616
"1212",77,671
"1213",81,632
"1214",82,598
"1215",77,636
"1216",77,613
"1217",77,555
"1218",79,650
"1219",82,680
"1220",81,714
"1221",78,754
"1222",82,723
"1223",77,717
"1224",74,647
"1225",76,668
"1226",75,632
"1227",72,708
"1228",69,641
"1229",74,525
"1230",73,563
"1231",72,589
"1232",72,617
"1233",71,608
"1234",73,644
"1235",79,637
"1236",81,587
"1237",74,639
"1238",69,616
"1239",65,551
"1240",70,680
"1241",70,656
"1242",65,635
"1243",65,598
"1244",66,632
"1245",73,682
"1246",79,623
"1247",83,566
"1248",83,647
"1249",80,668
"1250",74,679
"1251",74,681
"1252",71,646
"1253",67,586
"1254",68,637
"1255",73,721
"1256",73,657
"1257",74,616
"1258",76,588
"1259",77,631
"1260",79,654
"1261",75,607
"1262",69,649
"1263",70,709
"1264",70,592
"1265",75,658
"1266",78,610
"1267",80,673
"1268",70,695
"1269",70,708
"1270",70,682
"1271",73,653
"1272",70,635
"1273",70,636
"1274",73,697
"1275",74,738
"1276",73,704
"1277",70,725
"1278",66,636
"1279",68,604
"1280",67,608
"1281",66,549
"1282",59,618
"1283",60,609
"1284",59,636
"1285",55,573
"1286",64,587
"1287",67,611
"1288",72,670
"1289",74,627
"1290",76,702
"1291",77,709
"1292",66,631
"1293",57,584
"1294",58,572
"1295",62,554
"1296",62,581
"1297",65,643
"1298",66,670
"1299",69,655
"1300",62,621
"1301",61,566
"1302",61,571
"1303",66,625
"1304",62,643
"1305",61,592
"1306",58,536
"1307",65,607
"1308",65,645
"1309",63,673
"1310",63,626
"1311",57,648
"1312",59,652
"1313",65,656
"1314",68,618
"1315",66,661
"1316",63,624
"1317",66,690
"1318",63,635
"1319",64,617
"1320",59,571
"1321",59,587
"1322",61,551
"1323",62,552
"1324",65,578
"1325",62,676
"1326",62,676
"1327",62,599
"1328",60,585
"1329",59,573
"1330",57,599
"1331",56,588
"1332",53,593
"1333",60,629
"1334",58,548
"1335",55,593
"1336",54,557
"1337",56,531
"1338",59,631
"1339",59,645
"1340",59,699
"1341",57,617
"1342",53,543
"1343",49,550
"1344",45,573
"1345",50,528
"1346",56,588
"1347",48,562
"1348",51,469
"1349",48,570
"1350",46,556
"1351",49,522
"1352",45,541
"1353",55,570
"1354",58,559
"1355",48,551
"1356",45,521
"1357",53,541
"1358",46,494
"1359",44,529
"1360",45,583
"1361",42,541
"1362",37,501
"1363",37,522
"1364",39,505
"1365",40,504
"1366",38,367
"1367",38,443
"1368",39,493
"1369",35,439
"1370",31,507
"1371",38,465
"1372",39,534
"1373",45,552
"1374",47,573
"1375",45,544
"1376",51,537
"1377",55,583
"1378",59,560
"1379",53,586
"1380",49,530
"1381",45,580
"1382",47,523
"1383",46,486
"1384",40,551
"1385",39,507
"1386",43,546
"1387",47,532
"1388",48,574
"1389",45,530
"1390",45,496
"1391",46,580
"1392",42,468
"1393",40,559
"1394",40,537
"1395",39,419
"1396",38,446
"1397",38,474
"1398",38,472
"1399",36,492
"1400",37,485
"1401",36,520
"1402",34,536
"1403",32,478
"1404",30,490
"1405",34,407
"1406",36,469
"1407",37,503
"1408",41,505
"1409",38,546
"1410",40,474
"1411",40,516
"1412",40,533
"1413",41,479
"1414",45,522
"1415",43,493
"1416",43,534
"1417",47,522
"1418",45,460
"1419",46,489
"1420",45,504
"1421",46,534
"1422",49,481
"1423",52,566
"1424",48,593
"1425",44,522
"1426",49,560
"1427",47,514
"1428",51,550
"1429",52,505
"1430",47,566
"1431",43,528
"1432",42,516
"1433",43,519
"1434",41,552
"1435",45,507
"1436",50,557
"1437",49,597
"1438",47,542
"1439",53,556
"1440",50,561
"1441",52,531
"1442",52,572
"1443",52,560
"1444",52,531
"1445",49,499
"1446",54,551
"1447",56,607
"1448",52,564
"1449",55,527
"1450",46,514
"1451",48,537
"1452",46,603
"1453",44,477
"1454",45,543
"1455",46,541
"1456",52,498
"1457",51,559
"1458",52,522
"1459",54,567
"1460",52,546
"1461",49,548
"1462",53,548
"1463",51,509
"1464",54,556
"1465",51,568
"1466",55,579
"1467",51,481
"1468",49,529
"1469",43,454
"1470",48,503
"1471",51,553
"1472",47,566
"1473",48,527
"1474",48,470
"1475",47,499
"1476",45,482
"1477",49,526
"1478",47,502
"1479",54,558
"1480",57,529
"1481",53,542
"1482",50,539
"1483",51,529
"1484",50,555
"1485",51,492
"1486",50,515
"1487",50,553
"1488",48,490
"1489",48,537
"1490",50,535
"1491",57,587
"1492",60,538
"1493",61,624
"1494",58,617
"1495",59,594
"1496",54,602
"1497",54,583
"1498",57,570
"1499",66,665
"1500",67,669
"1501",59,624
"1502",56,509
"1503",57,586
"1504",54,522
"1505",53,556
"1506",50,544
"1507",52,545
"1508",56,537
"1509",64,544
"1510",70,659
"1511",72,621
"1512",68,571
